Business ID,,8110,8120,8128,8126,8132,8136,8140,8144,8148,8152,8156,8158,8166,8168,8170,8174
Days Run,,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat
Vehicle Formation,,2x 3VL,2x 3VL,3VL,3VL,2x 3VL,2x 3VL,2x 3VL,3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,3VL,2x 3VL,2x 3VL,2x 3VL
Formed By On Arrival,,"7109
06:04
BLO","7119
07:04
BLO","7128
06:52
MLO",ON,"8115
08:52
SPE","7135
10:06
BLO","8121
10:52
SPE","8117
10:41
SPE","8129
12:52
SPE","7151
14:00
BTC","8137
14:52
SPE","8143
15:52
SPE","8133
14:39
SPE","8151
17:47
SPE","8165
18:47
SPE","8177
20:47
SPE"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
MARYBOROUGH,Arr,,,,,,,,,,,,,,,,
,Dep,,,07:10,,,,,,,,,,,,,
,Plat,,,1,,,,,,,,,,,,,
TALBOT,,,,07:20,,,,,,,,,,,,,
CLUNES,,,,07:32,,,,,,,,,,,,,
CRESWICK,,,,07:44,,,,,,,,,,,,,
ARARAT,,,,,07:15,,,,11:08,,,,,16:10,,,
BEAUFORT,,,,,07:39,,,,11:32,,,,,16:34,,,
WENDOUREE,,06:12,07:12,,08:01,09:12,10:12,11:12,12:01,13:12,14:12,15:12,16:07,16:56,18:06,19:06,20:59
BALLARAT,Arr,06:16,07:16,08:01AV,08:06,09:16,10:16,11:16,12:06AV,13:16,14:16,15:16,16:11,17:01AV,18:10,19:10DV,21:03
,Dep,06:18,07:18,08:18AV,,09:18,10:18,11:18,12:18AV,13:18,14:18,15:18,16:13,17:13AV,18:13,19:13DV,21:15
,Plat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BALLAN,,06:35,07:35,08:35,,09:35,10:35,11:35,12:35,13:35,14:35,15:35,16:35,17:35,18:35,19:35,21:32
BACCHUS MARSH,,06:52,07:52,08:52,,09:52,10:52,11:52,12:52,13:52,14:52,15:52,16:52,17:52,18:52,19:52,21:53
MELTON,,07:01,08:01,09:01,,10:01,11:01,12:01,13:01,14:01,15:01,16:01,17:01,18:01,19:01,20:01,22:00
,Plat,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
ROCKBANK,,07:05,08:05,09:05,,10:05,11:05,12:05,13:05,14:05,15:05,16:05,17:05,18:05,19:05,20:05,22:05
,Plat,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
CAROLINE SPRINGS,,07:11,08:11,09:11,,10:11,11:11,12:11,13:11,14:11,15:11,16:11,17:11,18:11,19:11,20:11,22:10
,Plat,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
DEER PARK,,07:15,08:15,09:15,,10:15,11:15,12:15,13:15,14:15,15:15,16:15,17:15,18:15,19:15,20:15,22:15
ARDEER,,07:18,08:18,09:18,,10:18,11:18,12:18,13:18,14:18,15:18,16:18,17:18,18:18,19:18,20:18,22:18
SUNSHINE,,07:24d,08:24d,09:24d,,10:24d,11:24d,12:24d,13:24d,14:24d,15:24d,16:24d,17:24d,18:24d,19:24d,20:24d,22:23d
,Plat,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3
FOOTSCRAY,,07:30d,08:30d,09:30d,,10:30d,11:30d,12:30d,13:30d,14:30d,15:30d,16:30d,17:30d,18:30d,19:30d,20:30d,22:29d
SOUTHERN CROSS,Arr,07:40,08:40,09:40,,10:40,11:40,12:40,13:40,14:40,15:40,16:40,17:40,18:40,19:40,20:40,22:39
,Plat,16A,5,8,,1,15A,1,5,15B,5,15A,6,4,8,7,2
Forms,,"DAP 8723,
8951","8121
09:16
WED","8125
10:16
WED","8128
07:10
SPE","8129
11:16
WED","8413
11:56
BDE","8147
15:16
WED","8143
14:16
WED","8421
16:16
TRN","8151
16:16
WED","8425
17:16
TRN","8815
22:40
WPP","8177
19:16
WED","DAP 8063,
8061",OFF,"DAP 8067,
8187"