Business ID,,8610,8610,8620,8620,8620,8630,8630,8630
Days Run,,Sun+Sat,MF,SuO,MF,Sat,SuO,MF,Sat
Vehicle Formation,,N+SN+PCJ,N+SN+PCJ,N+SN+PCJ,N+SN+PCJ,N+SN+PCJ,N+SN+PCJ,N+SN+PCJ,N+SN+PCJ
Formed By On Arrival,,ON,ON,"8605
11:00
SPE","8605
11:00
SPE","8605
11:00
SPE","8615
15:55
SPE","8615
15:55
SPE","8615
15:55
SPE"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
ALBURY,,06:35,06:35,12:45,12:45,12:45,17:20,17:20,17:20
WODONGA,,06:42/06:44,06:42/06:44,12:52/12:54,12:52/12:54,12:52/12:54,17:27/17:29,17:27/17:29,17:27/17:29
CHILTERN,,07:01,07:01,13:11,13:11,13:11,17:46,17:46,17:46
SPRINGHURST,,07:11,07:11,13:21,13:21,13:21,17:56,17:56,17:56
WANGARATTA,,07:27/07:29,07:27/07:29,13:37/13:39,13:37/13:39,13:37/13:39,18:12/18:14,18:12/18:14,18:12/18:14
BENALLA,,07:52/07:54,07:52/07:54,14:02/14:04,14:02/14:04,14:02/14:04,18:37/18:39,18:37/18:39,18:37/18:39
VIOLET TOWN,,08:11,08:11,14:21,14:21,14:21,18:56,18:56,18:56
EUROA,,08:24,08:24,14:34,14:34,14:34,19:09,19:09,19:09
AVENEL,,08:45,08:45,14:55,14:55,14:55,19:33,19:33,19:33
SEYMOUR,,08:57/08:59,08:57/08:59,15:07/15:09,15:07/15:09,15:07/15:09,19:46/19:48,19:46/19:48,19:46/19:48
BROADMEADOWS,,09:52/09:53d,09:52/09:53d,16:02/16:03d,16:02/16:03d,16:02/16:03d,21:10/21:11d,21:10/21:11d,21:10/21:11d
SOUTHERN CROSS,,10:35,10:35,16:40,16:40,16:40,21:45,21:45,21:45
,Plat,2N,2N,2N,2N,2N,2N,2N,2N
Forms,,"DAP 0611,
8615 Sun+Sat","8613
11:02
SDL","8625
18:02
ALB","8625
18:02
ALB","8625
18:02
ALB",OFF,OFF,OFF