Business ID,,8004,8020,8026,8024,8030,8032,8034,8036,8044,8046,7030,8072,8042,8056
Days Run,,SuO,SuO,SuO,SuO,SuO,SuO,SuO,SuO,SuO,SuO,SuO,SuO,SuO,SuO
Vehicle Formation,,3VL,2x 3VL,N +VN,3VL,2x 3VL,3VL,3VL,3VL,3VL,3VL,3VL,3VL,N +VN,2x 3VL
Formed By On Arrival,,"7003
05:43
BGC","7019
07:50
BGC",ON,ON,"7029
11:15
BGC","8017
12:12
SPE","8019
13:12
SPE","8021
14:12
SPE","8023
15:12
SPE","8025
16:12
SPE","8029
17:12
SPE","8071
12:21
SPE","8011
12:32
SPE","7055
20:34
BGC"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,EMPTY,PSNG_SRV,PSNG_SRV,PSNG_SRV
ECHUCA,,,,,08:54,,,,,,,,15:58,,
ROCHESTER,,,,,09:17,,,,,,,,16:21,,
ELMORE,,,,,09:31,,,,,,,,16:35,,
EPSOM,,,,,10:00,,,,,,,,17:04,,
SWAN HILL,,,,06:51,,,,,,,,,,16:13,
KERANG,,,,07:34,,,,,,,,,,16:56,
PYRAMID,,,,08:03,,,,,,,,,,17:25,
DINGEE,,,,08:31,,,,,,,,,,17:53,
EAGLEHAWK,,,,09:00,,,,,,,,,,18:22,
BENDIGO,Arr,,,09:13,10:09AV,,,,,,,,17:13,18:35,
,Dep,05:53,08:00,09:16,10:22AV,11:25,12:25,13:25,14:25,15:25,16:25,17:15,17:25,18:38,20:46
,Plat,1,1,1,2,1,1,1,1,1,1,2,1,1,2
KANGAROO FLAT,,05:57,08:04,09:20*,10:27,11:30,12:30,13:30,14:30,15:30,16:30,,17:30,18:42*,20:50
,Plat,1,1,1,1,1,1,1,1,1,1,,1,1,1
CASTLEMAINE,,06:14,08:21,09:40,10:44,11:47,12:47,13:47,14:47,15:47,16:47,,17:47,19:05,21:07
,Plat,1,1,1,1,1,1,1,1,1,1,,1,1,1
MALMSBURY,,06:26,08:33,…/…,10:57,12:00,13:00,14:00,15:00,16:00,17:00,,18:00,…/…,21:19
KYNETON,,06:34,08:41,10:05,11:05,12:08,13:08,14:08,15:08,16:08,17:08,,18:08,19:33,21:27
,Plat,1,1,1,1,1,1,1,1,1,1,,1,1,1
WOODEND,,06:42,08:49,10:16,11:13,12:16,13:16,14:16,15:16,16:16,17:16,,18:16,19:43,21:35
MACEDON,,06:48,08:55,…/…,11:19,12:22,13:22,14:22,15:22,16:22,17:22,,18:22,…/…,21:41
GISBORNE,,06:52,08:59,10:27,11:23,12:26,13:26,14:26,15:26,16:26,17:26,,18:26,19:53,21:45
RIDDELLS CREEK,,06:57,09:04,…/…,11:28,12:31,13:31,14:31,15:31,16:31,17:31,,18:31,…/…,21:50
SUNBURY,,07:13,09:19,10:48*,11:45,12:48,13:48,14:48,15:48,16:48,17:48,,18:48,20:10*,22:08
,Plat,1,1,1,1,1,1,1,1,1,1,,1,1,1
SUNSHINE,,07:30*,09:36*,11:07*,12:03*,13:05*,14:05*,15:05*,16:05*,17:05*,18:05*,,19:05*,20:28*,22:26*
FOOTSCRAY,,07:35d,09:41d,11:13d,12:08d,13:10d,14:10d,15:10d,16:10d,17:10d,18:10d,,19:10d,20:34d,22:31d
SOUTHERN CROSS,,07:45,09:49,11:23,12:18,13:20,14:20,15:20,16:20,17:20,18:20,,19:20,20:44,22:41
,Plat,15B,5,5,16A,2,15A,6,1,1,15A,,8N,4,4
Forms,,"8407
09:05
TRN","8125
10:16
WED","8365
12:52
SNH","DAP 8415,
8023","8143
14:16
WED","8419
15:16
TRN","8329
17:32
SER","8793
17:50
WPP","8793
17:50
WPP","8429
19:35
TRN",OFF,"8061
20:25
BGO","8279
21:30
GEL",OFF