Business ID,,8000,8002,8004,8010,8014,8016,8018,8020,8024,8026,8028,8030,8032,8034,8036,8042,8044,8046,8048,8050,8056,8060
Days Run,,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF
Vehicle Formation,,2x SP,2x 3VL,2x 3VL,2x 3VL,2x 3VL,3VL,2x 3VL,2x 3VL,3VL,N +VN,3VL,3VL,3VL,3VL,3VL,N +VN,3VL,3VL,3VL,2x 3VL,2x 3VL,3VL
Formed By On Arrival,,ON,"7001
04:57
BGC","7003
05:23
BGC","7009
05:50
BGC","7013
06:17
BGC",ON,"7017
06:52
BGC","7019
07:35
BGC",ON,ON,"8007
09:33
SPE","8015
11:16
SPE","8017
12:07
SPE","8019
13:16
SPE","8021
14:19
SPE","8011
12:23
SPE","8023
15:30
SPE","8025
16:26
SPE","8027
18:38
SPE","8031
18:29
SPE","7042
19:46
EPS","7059
20:44
BGC"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
ECHUCA,,,,,,,,,,07:16,,,,,,,,,,,,,
ROCHESTER,,,,,,,,,,07:39,,,,,,,,,,,,,
ELMORE,,,,,,,,,,07:53,,,,,,,,,,,,,
EPSOM,,,,,05:58,,,07:00,,08:23,,10:20,,,,14:28,,,16:34,,18:35,,
SWAN HILL,,,,,,,,,,,06:58,,,,,,12:54,,,,,,
KERANG,,,,,,,,,,,07:41,,,,,,13:37,,,,,,
PYRAMID,,,,,,,,,,,08:10,,,,,,14:06,,,,,,
DINGEE,,,,,,,,,,,08:38,,,,,,14:34,,,,,,
EAGLEHAWK,,,,05:31,,06:22,,,,,09:07,,,,,,15:03,15:50,,,,,
BENDIGO,Arr,,,05:39,06:06,06:30,,07:08,,08:33AV,09:20,10:28,,,,14:36,15:13,15:58,16:42,,18:43DV,,
,Dep,,05:07,05:41,06:08,06:32,,07:10,07:45,08:45AV,09:22,10:30,11:36,12:30,13:36,14:38,15:18,16:02,16:44,17:26,18:47DV,20:02,21:20
,Plat,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
KANGAROO FLAT,,,05:11,05:45,06:12,06:36,,07:14,07:49,08:49,09:26,10:34,11:40,12:34,13:40,14:42,15:22,16:08,16:48,17:30,18:51,20:06,21:26
,Plat,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
CASTLEMAINE,,,05:28,06:02,06:29,06:53,,07:31,08:06,09:08,09:48,10:51,11:57,12:51,13:57,15:01,15:47,16:25,17:07,17:48,19:09,20:25,21:44
,Plat,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MALMSBURY,,,05:40,…/…,06:41,…/…,,07:46,…/…,09:22,…/…,11:03,…/…,13:03,…/…,15:13,…/…,…/…,17:20,18:05,19:23,20:37,21:57
KYNETON,,05:13,05:48,06:18*,06:49,07:11,07:23,07:54,08:25,09:30,10:13,11:11,12:16,13:11,14:16,15:21,16:11,16:50,17:28,18:13,19:31,20:45,22:05
,Plat,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WOODEND,,05:21,05:56,06:23*,06:57,07:19,07:31,08:02,08:33,09:39,10:24,11:20,12:25,13:20,14:25,15:30,16:21,16:58,17:36,18:21,19:39,20:53,22:13
MACEDON,,05:27,06:02,…/…,07:03,07:25,07:37,08:08,…/…,09:45,…/…,11:26,…/…,13:26,…/…,15:36,…/…,…/…,17:42,18:27,19:45,20:59,22:19
GISBORNE,,05:31,06:06,06:29,07:07,07:29,07:41,08:12,08:41,09:49,10:35,11:30,12:33,13:30,14:33,15:40,16:31,17:06,17:46,18:31,19:49,21:03,22:23
RIDDELLS CREEK,,05:36,06:11,…/…,07:12,07:34,07:46,08:17,…/…,09:54,…/…,11:35,…/…,13:35,…/…,15:45,…/…,…/…,17:51,18:36,19:54,21:08,22:28
SUNBURY,,05:52,06:28,06:45*,07:26*,07:49*,08:00,08:31*,08:58,10:11,10:56*,11:52,12:50,13:52,14:50,16:01,16:50*,17:23,18:07,18:53,20:11,21:25,22:45
,Plat,1,2,1A,1A,1A,1,1A,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
SUNSHINE,,06:09*,06:45*,07:03*,07:51*,08:09*,08:23*,08:53*,09:13*,10:28*,11:18*,12:08*,13:07*,14:08*,15:07*,16:18*,17:09*,17:47*,18:27*,19:09*,20:28*,21:40*,23:00*
FOOTSCRAY,,06:15d,06:50d,07:09d,07:56d,08:14d,08:29d,08:58d,09:18d,10:33d,11:24d,12:13d,13:12d,14:13d,15:12d,16:23d,17:15d,17:52d,18:32d,19:14d,20:33d,21:45d,23:05d
SOUTHERN CROSS,,06:25,07:00,07:19,08:06,08:24,08:39,09:08,09:28,10:43,11:34,12:23,13:22,14:23,15:22,16:33,17:25,18:02,18:42,19:24,20:43,21:55,23:15
,Plat,7,6,16A,5,2,15A,8,2,16A,3N,15A,6,1,8S,8S,3N,7,7,15A,16B,7,16A
Forms,,"8833
06:44
WVS","8715
07:20
WPP","8115
07:26
BAT","DAP 8725,
8307","8913
08:38
SKS","8015
09:14
BGO","DAP 8923,
8921","DAP 8733,
8731","DAP 8411,
8951","8865
13:05
WBL","8229
12:37
BAH","8161
16:54
WED","8849
16:17
WVL","8033
16:57
EAG","8033
16:57
EAG","DAP 8247,
8869","8331
18:22
SER","8805
20:05
WPP","8429
19:34
TRN","8061
21:02
BGO","8819
00:15
WPP","8067
23:52
BGO"