Business ID,,8210,8212,8102,8214,8216,8110,8218,8114,8220,8222,8120,8224,8124,8128,8126,8226,8132,8228,8136,8230,8140,8232,8144,8234,8148,8236,8152,8238,8156,8158,8160,8244,8246,8166,8170,8172,8174,8176,8178
Days Run,,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF
Vehicle Formation,,3VL,2x 3VL,2x 3VL,N +6SH,N +6LH,2x 3VL,2x 3VL,2x 3VL,N +6LH,N +6SH,3VL,2x 3VL,2x 3VL,3VL,3VL,3VL,2x 3VL,3VL,2x 3VL,3VL,3VL,3VL,2x 3VL,3VL,3VL,3VL,3VL,3VL,3VL,3VL,3VL,2x 3VL,2x 3VL,3VL,2x 3VL,2x 3VL,3VL,3VL,3VL
Formed By On Arrival,,"7210
04:41
MDS","8209
05:35
AYD","7101
05:05
BLO","7214
06:19
MDS","7216
06:25
MDS","7109
06:02
BLO","8219
06:44
SPE","7113
06:29
BLO","7220
07:14
MDS","7222
07:23
MDS","7119
05:35
BLO","7224
07:59
MDS","7123
07:29
BLO","7128
06:53
MLO",ON,"8221
09:21
SPE","7131
09:03
BLO","8223
10:21
SPE","7135
10:02
BAT","8225
11:21
SPE","8121
10:51
SPE","8227
12:21
SPE","8125
11:51
SPE","8229
13:21
SPE","8117
10:39
SPE","8231
14:21
SPE","7151
14:02
BLO","8233
15:21
SPE","8137
14:51
SPE","7158
14:28
MLO","8133
14:39
SPE","8241
17:34
SPE","8245
18:18
SPE","8143
16:39
SPE","8165
18:29
SPE","7171
19:53
BLO","8177
20:46
SPE","8179
21:17
SPE","8181
22:00
SPE"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
MARYBOROUGH,Arr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALBOT,,,,,,,,,,,,,,,07:21,,,,,,,,,,,,,,,,14:56,,,,,,,,,
CLUNES,,,,,,,,,,,,,,,07:33,,,,,,,,,,,,,,,,15:08,,,,,,,,,
CRESWICK,,,,,,,,,,,,,,,07:46,,,,,,,,,,,,,,,,15:21,,,,,,,,,
ARARAT,,,,,,,,,,,,06:18,,,,07:15,,,,,,,,,,12:26,,,,,,14:49,,,16:49,,,,,
BEAUFORT,,,,,,,,,,,,06:42,,,,07:39,,,,,,,,,,12:50,,,,,,15:13,,,17:13,,,,,
WENDOUREE,,,,05:15,,,06:09,,06:38,,,07:05,,07:39,,08:01,,09:12,,10:12,,11:12,,12:12,,13:12,,14:12,,15:12,,15:35,,,17:35,18:50,20:02,,21:25,22:29
BALLARAT,Arr,,,05:19,,,06:13,,06:42,,,07:09AV,,07:43,08:02AV,08:06,,09:16,,10:16,,11:16,,12:16,,13:16,,14:16,,15:16,15:37AV,15:40,,,17:41,18:54DV,20:06,,21:29,22:33AV
,Dep,,,05:21,,,06:15,,06:44,,,07:21AV,,07:45,08:18AV,,,09:18,,10:18,,11:18,,12:18,,13:18,,14:18,,15:18,15:52AV,,,,18:01,19:09DV,20:08,20:45,21:32,22:45AV
,Plat,,,1,,,1,,1,,,1,,1,1,1,,1,,1,,1,,1,,1,,1,,1,1,1,,,1,1,1,1,1,1
BALLAN,,,,05:38,,,06:32,,07:01,,,07:38,,08:02,08:35,,,09:35,,10:35,,11:35,,12:35,,13:35,,14:35,,15:35,16:09,,,,18:22,19:32,20:30,21:07,21:49,23:07
BACCHUS MARSH,,05:00,06:06,05:55,06:21,06:34,06:49,07:12,07:19,,07:39,07:55,08:07,08:19,08:52,,09:29,09:52,10:29,10:52,11:29,11:52,12:29,12:52,13:29,13:52,14:29,14:52,15:29,15:52,16:25,,,18:30,18:43,19:49,20:51,21:29,22:07,23:24
MELTON,,05:07,06:15,06:03,06:30,06:43,06:56*,07:19,07:26*,07:31,07:48,08:02*,08:15,08:26*,09:00,,09:36,10:00,10:36,11:00,11:36,12:00,12:36,13:00,13:36,14:00,14:36,15:00,15:36,16:00,16:35,,17:39,18:38/18:39,18:52,20:01,21:00/21:02,21:36,22:15,23:36
,Plat,1,1,1,1,1,1,1,1,2,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,1,1,1,1,1,1,1
ROCKBANK,,05:12,06:21,06:07*,06:37,06:49,06:59*,07:24,07:29*,07:35*,07:54,08:05*,08:21,08:29*,09:05/09:06X,,09:41/09:43,10:05/10:06X,10:41/10:43,11:05/11:06X,11:41/11:43,12:05/12:06X,12:41/12:43,13:05/13:06X,13:41/13:43,14:05/14:06X,14:41/14:43,15:05/15:06X,15:41/15:44,16:05/16:06X,16:41/16:42,,17:44/17:50,18:44/18:48,18:55*,20:06,21:07,21:42/21:44,22:20/22:23,23:41
,Plat,1,1,1,2,1,1,1,1,1,1,1,1,1,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,1,1,1,2,2,1
CAROLINE SPRINGS,,05:17,06:28,06:11*,06:43,06:56,07:04*,07:30,07:34*,07:41,08:01,08:09*,08:27,08:33*,09:13,,09:48,10:13,10:48,11:13,11:48,12:13,12:48,13:13,13:48,14:13,14:48,15:13,15:49,16:13,16:47,,17:55,18:53,18:59*,20:12,21:13,21:50,22:28,23:47
,Plat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
DEER PARK,,05:21,06:33,06:15*,06:49,07:00,07:07*,07:34,07:38*,07:45,08:06,08:13*,08:32,08:36*,09:17*,,09:52,10:16*,10:52,11:16*,11:52,12:16*,12:52,13:16*,13:52,14:16*,14:52,15:16*,15:53,16:16*,16:51,,17:59,18:57,19:02*,20:15,21:16,21:54,22:33,23:50
ARDEER,,05:24,06:36,06:16*,06:52,07:03,07:09*,07:36*,07:39*,07:47*,08:08*,08:16*,08:34*,08:38*,09:18*,,09:55,10:18,10:55,11:18,11:55,12:18,12:55,13:18,13:55,14:18,14:55,15:18,15:56,16:18,16:53,,18:02,19:00,19:04*,20:18,21:19,21:56,22:35,23:53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MD@1757,,,,,,,
SUNSHINE,,05:29d,06:41d,06:20d,06:59d,07:09d,07:12*,07:41d,07:43d,07:54d,08:15d,08:21d,08:39d,08:43d,09:23d,,10:02d,10:24d,11:02d,11:24d,12:02d,12:24d,13:02d,13:24d,14:02d,14:24d,15:02d,15:24d,16:03d,16:24d,17:00d,,18:05d,19:04d,19:11d,20:24d,21:24d,22:02d,22:42d,23:59d
,Plat,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3
FOOTSCRAY,,05:34d,06:47d,06:25d,07:06d,07:16d,07:18d,07:46d,07:49d,08:00d,08:21d,08:26d,08:45d,08:49d,09:29d,,10:08d,10:30d,11:08d,11:30d,12:08d,12:30d,13:08d,13:30d,14:08d,14:30d,15:08d,15:30d,16:09d,16:30d,17:06d,,18:11d,19:10d,19:17d,20:30d,21:30d,22:08d,22:48d,00:05d
SOUTHERN CROSS,Arr,05:44,06:57,06:35,07:16,07:26,07:28,07:56,08:00,08:10,08:31,08:36,08:55,08:59,09:39,,10:18,10:40,11:18,11:40,12:18,12:40,13:18,13:40,14:18,14:40,15:18,15:40,16:19,16:40,17:16,,18:21,19:20,19:27,20:40,21:40,22:18,22:58,00:15
,Plat,15A,15A,16B,3,4,15A,8S,15A,3,3N,16A,15B,2,16A,,1,15B,1,1,8,8S,2N,16B,8,16A,15B,6,7N,4,1,,6,8S,15B,7,2,1,7,6
Forms,,"8401
06:14
TRN","8403
07:20
BDE","8713
07:08
SOG","8911
07:48
SDL MO
8795
18:05
GEL ME","DAP 8363, 8247","8841
07:38
WVS","8551
09:10
AST","8905
08:05
MYD","8239
16:35
MEL","8797
18:18
GEL","8919
08:44
AYD","8915
09:00
AYD","8121
09:16
WED","8925
09:47
MYD","8128
07:11
SPE","8751
13:10
SOG","8931
10:52
SKS","8231
13:37
BAH","DAP 8849, 8745","8749
12:50
WPP","8137
13:16
WED","8759
14:30
SOG","8757
14:10
WPP","8763
15:10
SOG","8147
15:16
WED","8421
16:16
TRN","8151
16:00
WED","8853
16:51
WVL","8165
17:10
WED","8789
17:41
SOG","8158
14:46
SPE",OFF,"DAP 8811, 8337","8431
20:34
TRN",OFF,"DAP 8189, 8815","8817
23:30
WPP","8341
23:45
SER",OFF
